#Table1
class,g,r,z
GALAXY,18.71729,17.2991,0.2065565
GALAXY,19.87699,18.0888,0.3208135
GALAXY,19.87699,18.0888,0.3207301
GALAXY,18.24207,17.65169,0.08474878
GALAXY,18.24207,17.65169,0.08474916
GALAXY,18.33654,17.72666,0.102639
GALAXY,18.33654,17.72666,0.1026237
GALAXY,18.7357,17.65866,0.1509852
GALAXY,18.7357,17.65866,0.1509493
GALAXY,20.27842,18.45155,0.3505642
GALAXY,20.27842,18.45155,0.3502668
GALAXY,18.21209,17.63813,0.08897925
GALAXY,19.48016,17.89039,0.2864824
QSO,21.12804,19.91806,1.112552
GALAXY,21.79014,19.84152,0.4698426
GALAXY,18.52161,17.35407,0.1424906
GALAXY,18.25094,17.1678,0.166602
GALAXY,18.31481,17.49024,0.08769272
GALAXY,20.28,18.46887,0.3402346
GALAXY,18.54588,17.48281,0.08945534
QSO,19.59899,19.39737,1.816166
GALAXY,18.62565,17.12899,0.2260185
GALAXY,20.98543,18.97935,0.3400926
GALAXY,18.35033,17.15195,0.1264581
QSO,19.33509,18.97515,1.386899
GALAXY,18.23695,17.40438,0.1589259
GALAXY,17.874,17.23508,0.06984673
GALAXY,17.7261,16.90218,0.1002968
GALAXY,21.20762,19.18901,0.3892646
GALAXY,17.38063,16.91847,0.04958897
GALAXY,18.58444,17.39086,0.1480802
GALAXY,17.52936,16.71915,0.05020094
GALAXY,16.28152,15.84907,0.03276557
GALAXY,20.75526,18.99051,0.3840057
GALAXY,17.66171,16.74143,0.09217949
GALAXY,18.25738,17.32973,0.1171812
GALAXY,18.60528,17.60759,0.1037619
GALAXY,20.72491,18.86063,0.3472175
QSO,17.6965,17.54185,0.4285848
GALAXY,18.5266,17.86688,0.06800771
GALAXY,20.99769,19.24784,0.4130547
GALAXY,16.71831,15.68455,0.06836636
GALAXY,18.69794,18.00713,0.1176502
GALAXY,16.62802,16.15077,0.04806982
QSO,19.65499,19.53989,1.634582
GALAXY,20.83033,18.82289,0.3459818
GALAXY,20.39252,18.58416,0.2924556
GALAXY,18.64172,17.70724,0.1050607
GALAXY,16.15226,15.06507,0.02725771
GALAXY,22.15452,20.38706,0.3093446
GALAXY,17.64661,16.59679,0.05667758
GALAXY,17.97528,16.9376,0.1052944
GALAXY,16.89563,16.34107,0.0244775
GALAXY,17.90006,17.33493,0.08144762
GALAXY,17.66926,17.05803,0.0277606
GALAXY,18.2289,17.22315,0.1854784
GALAXY,18.35248,17.83754,0.05574461
GALAXY,18.02738,17.53441,0.05533386
GALAXY,16.78357,16.36801,0.05555231
GALAXY,20.4231,18.58273,0.3653216
GALAXY,17.05451,16.43692,0.05591223
QSO,18.22688,18.16234,1.92721
GALAXY,18.28441,17.72901,0.05762954
GALAXY,21.0266,19.25736,0.3662617
GALAXY,18.48384,17.50738,0.1317776
GALAXY,17.75045,17.3277,0.02796681
GALAXY,16.59167,15.95641,0.05804155
GALAXY,18.44395,17.37213,0.1149076
GALAXY,20.95619,19.13717,0.3692911
GALAXY,17.47846,17.03543,0.1067022
GALAXY,21.25789,19.36675,0.4042451
GALAXY,18.12701,17.31176,0.1084039
GALAXY,18.5928,17.09214,0.2280073
GALAXY,18.25399,17.04495,0.1557067
GALAXY,16.8872,16.42735,0.0286315
GALAXY,21.00497,19.24346,0.4388816
GALAXY,17.30178,16.46264,0.02809832
GALAXY,17.85726,16.89594,0.07942327
GALAXY,18.33714,17.6864,0.1327327
GALAXY,20.58111,18.91054,0.3678472
GALAXY,18.42024,17.53586,0.085917
GALAXY,18.11488,17.46252,0.05537476
QSO,22.4886,20.50547,0.1380283
GALAXY,20.35101,18.64342,0.3418921
GALAXY,17.91304,17.55133,0.05902028
GALAXY,17.12259,16.36792,0.05877787
GALAXY,16.96216,16.00313,0.05765377
GALAXY,18.07842,17.59711,0.05813755
GALAXY,16.35203,15.42559,0.05805147
GALAXY,18.32204,17.38632,0.1342698
GALAXY,18.30311,17.22537,0.1448038
GALAXY,15.63081,15.09907,0.03223962
QSO,19.47152,19.30395,1.597835
GALAXY,17.79408,16.81001,0.08652647
GALAXY,18.07914,17.3061,0.1330015
GALAXY,17.80179,17.39375,0.02452652
GALAXY,17.97229,17.63551,0.02442459
GALAXY,18.05407,16.93844,0.1363494
GALAXY,18.41355,17.53808,0.1362663
QSO,19.01674,18.70262,1.227615
GALAXY,17.86629,16.91098,0.09119939
GALAXY,18.14825,17.21663,0.08569978
GALAXY,21.33239,19.39132,0.4196734
GALAXY,16.7313,16.19508,0.04765368
GALAXY,18.87317,17.77124,0.1627529
GALAXY,18.2293,17.31172,0.1632603
GALAXY,21.06151,19.23576,0.3757668
QSO,19.24191,19.19376,1.658898
QSO,19.24191,19.19376,1.65905
GALAXY,21.11756,19.3308,0.5194995
GALAXY,21.11756,19.3308,0.5189318
GALAXY,18.03506,17.42109,0.09115966
GALAXY,18.03506,17.42109,0.09111653
GALAXY,21.09382,19.11213,0.3532358
GALAXY,21.09382,19.11213,0.3532155
GALAXY,18.01437,17.00924,0.1360614
GALAXY,18.01437,17.00924,0.1360712
GALAXY,17.4374,16.49413,0.07438669
GALAXY,17.4374,16.49413,0.07435275
GALAXY,22.29811,20.62828,0.7883698
GALAXY,22.88763,20.97507,0.8296327
GALAXY,22.19998,20.77111,0.5110817
GALAXY,18.23343,17.59102,0.1289759
GALAXY,17.37997,16.71033,0.1143793
GALAXY,23.49776,21.46527,0.5109609
GALAXY,18.56732,18.0679,0.9047103
GALAXY,21.6153,20.57464,0.5633937
GALAXY,22.56001,20.89951,0.5032306
GALAXY,21.96737,20.43581,0.5645205
GALAXY,21.83909,20.32875,0.563275
GALAXY,22.22613,20.71076,0.5670285
GALAXY,22.90956,20.5928,0.5662975
QSO,19.26654,18.84102,1.131862
GALAXY,22.88275,21.58881,0.4319265
GALAXY,22.16849,20.40536,0.5061431
GALAXY,23.77733,21.04897,0.4401068
GALAXY,18.294,17.25505,0.1769361
GALAXY,18.294,17.25505,0.1768631
GALAXY,18.75989,17.36325,0.1782912
GALAXY,18.53002,17.4881,0.1239605
GALAXY,19.64863,17.96548,0.395745
GALAXY,18.35401,17.47946,0.17273
QSO,20.29251,20.26312,2.171774
GALAXY,21.8279,20.41214,0.4374194
GALAXY,22.31384,20.41282,0.440762
GALAXY,20.82657,18.90413,0.4417432
GALAXY,21.28216,19.45065,0.4450347
GALAXY,23.08356,21.15526,0.5675495
GALAXY,16.49474,15.87173,0.08193589
GALAXY,17.69236,16.69839,0.1000847
GALAXY,17.19797,16.30089,0.07057208
GALAXY,17.41159,16.39621,0.0996795
GALAXY,17.92747,17.00706,0.0831765
GALAXY,18.13403,17.31124,0.1780877
GALAXY,21.83382,20.75953,0.6946563
GALAXY,20.76982,19.00941,0.4593117
QSO,18.2819,18.26961,0.6713392
QSO,18.2819,18.26961,0.6705019
QSO,18.2819,18.26961,0.6706185
GALAXY,18.72033,18.43431,0
QSO,18.76049,18.65779,2.346067
QSO,18.76049,18.65779,2.352051
QSO,18.76049,18.65779,2.347622
QSO,19.7323,19.47268,2.154817
QSO,20.48076,20.4276,0.6603779
QSO,21.60115,21.70067,0.2819661
GALAXY,22.03255,20.64933,0.5398239
GALAXY,21.16555,19.48831,0.3900208
GALAXY,23.81383,21.17922,0.6266171
GALAXY,22.54741,21.45337,0.6588353
GALAXY,16.40675,15.52149,0.07594268
GALAXY,18.51185,18.18766,0.3389315
GALAXY,17.35735,16.3837,0.07562031
QSO,22.17954,21.53508,3.000936
QSO,20.01369,20.05328,1.824395
GALAXY,20.77605,18.74271,0.3878359
QSO,21.09672,20.92431,2.808532
GALAXY,21.47525,20.84686,0.414387
GALAXY,22.23929,20.93034,0
QSO,22.04766,21.73801,3.128266
GALAXY,21.56617,20.69284,0.6046105
GALAXY,18.31569,17.06941,0.1776248
GALAXY,18.4793,17.42469,0.1121304
GALAXY,17.3274,16.66518,0.0795421
GALAXY,21.55025,21.44362,0.7405561
GALAXY,17.91534,16.96341,0.08940969
GALAXY,18.79882,17.57419,0.192828
GALAXY,17.86002,16.76313,0.1447121
GALAXY,19.1744,17.85382,0.2551171
GALAXY,19.30665,17.90501,0.2613679
GALAXY,22.38934,20.92019,0.6230651
GALAXY,16.64823,15.61071,0.05465472
GALAXY,16.64823,15.61071,0.05459604
GALAXY,18.52585,17.80881,0.1057683
GALAXY,18.52585,17.80881,0.1057341
